Short Name,Long Name,Vendor,WOSO URL,MOSO URL
Wichita St.,Wichita State University,Sidearm,None,None
Tulane,Tulane University,Sidearm,https://tulanegreenwave.com/sports/womens-soccer,None
Georgia Tech,Georgia Tech,WMT,None,None
Montana St.,Montana State University-Bozeman,Sidearm,https://msubsports.com/sports/womens-soccer,https://msubsports.com/sports/mens-soccer
North Carolina A&T,North Carolina A&T State University,Sidearm,None,None
Morgan St.,Morgan State University,Sidearm,None,None
North Carolina Central,North Carolina Central University,Sidearm,https://ncurams.com/sports/womens-soccer,None
Tennessee St.,Tennessee State University,Sidearm,https://etsubucs.com/sports/womens-soccer/archives,https://etsubucs.com/sports/mens-soccer
Coppin St.,Coppin State University,Sidearm,https://goleopards.com/sports/womens-soccer/opponent-history/coppin-state-university/153,None
Norfolk St.,Norfolk State University,Sidearm,None,None
LSU,Louisiana State University,WMT,https://lsuagenerals.com/sports/womens-soccer,https://lsuagenerals.com/sports/mens-soccer
Kentucky St.,Kentucky State University,Sidearm,None,None
New Orleans,University of New Orleans,Sidearm,https://xulagold.com/sports/womens-soccer,https://xulagold.com/sports/mens-soccer
Bethune-Cookman,Bethune-Cookman University,Sidearm,None,None
Florida A&M,Florida A&M University,Sidearm,None,None
Tarleton St.,Tarleton State University,Sidearm,None,None
Texas at Arlington,University of Texas at Arlington,Sidearm,None,None
North Greenville,North Greenville University,Sidearm,None,None
Bridgeport,University of Bridgeport,PrestoSports,None,None
Bowie St.,Bowie State University,Sidearm,None,None
Fayetteville St.,Fayetteville State University,Sidearm,None,None
Johnson C. Smith,Johnson C. Smith University,Sidearm,None,None
St. Augustine's,St. Augustine's University,Sidearm,None,None
St. Thomas Aquinas,St. Thomas Aquinas College,PrestoSports,None,None
Dist. Columbia,University of the District of Columbia,PrestoSports,None,None
Henderson St.,Henderson State University,Sidearm,None,None
Southern Ark.,Southern Arkansas University,Sidearm,None,None
P.R.-Mayaguez,University of Puerto Rico-Mayaguez Campus,None,None,None
Cameron,Cameron University,Sidearm,None,None
Tex. A&M Int'l,Texas A&M International University,WMT,None,None
Tex. A&M-Kingsville,Texas A&M-Kingsville,WMT,None,None
West Tex. A&M,West Texas A&M University,Sidearm,None,None
Franklin Pierce,Franklin Pierce University,PrestoSports,None,None
Augusta University,Augusta University,Sidearm,None,None
Clayton St.,Clayton State University,Sidearm,None,None
Claflin,Claflin University,Sidearm,None,None
Chadron St.,Chadron State College,Sidearm,None,None
Mars Hill,Mars Hill University,PrestoSports,None,None
Coker,Coker University,PrestoSports,None,None
Carson-Newman,Carson-Newman College,PrestoSports,None,None
Tusculum,Tusculum College,PrestoSports,None,None
Virginia-Wise,Virginia's College at Wise,Sidearm,None,None
Miles,Miles College,Sidearm,None,None
Tuskegee,Tuskegee University,Sidearm,None,None
Clark Atlanta,Clark Atlanta University,Sidearm,None,None
Morehouse,Morehouse College,Sidearm,None,None
Central St. (OH),Central State University,Sidearm,None,None
Lane,Lane College,Sidearm,None,None
Rollins,Rollins College,Sidearm,None,None
Tampa,University of Tampa,PrestoSports,None,None
La Roche,La Roche College,PrestoSports,None,None
Penn St.-Altoona,Penn State Altoona,PrestoSports,None,None
Pitt.-Bradford,"University of Pittsburgh, Bradford",PrestoSports,None,None
Frank. & Marsh.,Franklin & Marshall College,None,None,None
Gettysburg,Gettysburg College,Sidearm,https://gettysburgsports.com/sports/womens-soccer,https://nilclub.com/gettysburg-college/mens-soccer
Haverford,Haverford College,PrestoSports,None,None
Muhlenberg,Muhlenberg College,Sidearm,https://muhlenbergsports.com/sports/womens-soccer,https://tcnjathletics.com/sports/mens-soccer/opponent-history/muhlenberg-college/72
Swarthmore,Swarthmore College,Sidearm,https://swarthmoreathletics.com/sports/womens-soccer,https://swarthmoreathletics.com/sports/mens-soccer
Ursinus,Ursinus College,Sidearm,https://ursinusathletics.com/sports/womens-soccer,https://www.ursinuscamps.com/mens-soccer.cfm
Baruch,Baruch College,Sidearm,None,https://athletics.baruch.cuny.edu/news/2023/11/11/mens-soccer-season-ends-in-ncaa-tournament.aspx
Brooklyn,Brooklyn College,Sidearm,https://www.brooklyncollegeathletics.com/sports/womens-soccer,https://bvmsports.com/ncaa/brooklyn-college-bulldogs/mens-soccer/
CCNY,City College of New York,Sidearm,https://ccnyathletics.com/sports/womens-soccer,https://ccnyathletics.com/sports/mens-soccer
John Jay,John Jay College of Criminal Justice,Sidearm,https://johnjayathletics.com/sports/womens-soccer,https://cunyathletics.com/news/2024/2/5/chris-weeks-tabbed-head-coach-of-john-jay-mens-soccer.aspx
Lehman,Lehman College,Sidearm,https://lehmanathletics.com/sports/womens-soccer,https://athletics.baruch.cuny.edu/sports/mens-soccer/opponent-history/lehman-college/18
Medgar Evers,Medgar Evers College,Sidearm,https://mecathletics.com/sports/womens-soccer,https://johnjayathletics.com/sports/mens-soccer/opponent-history/medgar-evers-college/17
York (NY),York College (N.Y.),Sidearm,https://ycpspartans.com/sports/womens-soccer,https://yorkpanthers.com/sports/mens-soccer
UC Santa Cruz,UC Santa Cruz,Sidearm,https://goslugs.com/sports/womens-soccer,https://goslugs.com/sports/mens-soccer
